NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
BIBLIOTHEQUE GLACIERE MARINA TSVETAÏEVA,132 RUE DE LA GLACIERE,75013,PW0125,2,48.8273180542,2.34199371698
SQUARE JULIA BARTET,1 RUE JULIA BARTET,75014,PW0183,1,48.8256855011,2.30282480885
PARC MONTSOURIS - STATION RER,BOULEVARD JOURDAN,75014,PW0214,1,48.8223310676,2.32949179787
PARC MONTSOURIS - GARDE COTY,2 RUE GAZAN,75014,PW0212,1,48.8245191985,2.33987236739
BIBLIOTHEQUE AIME CESAIRE,5 RUE DE RIDDER,75014,PW0053,2,48.8312312482,2.31166233211
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  14,22 RUE DEPARCIEUX,75014,PW0040,2,48.83559168,2.3258213932
MAIRIE DU 14 EME,2 PLACE FERDINAND BRUNOT,75014,PW0035,1,48.8329972796,2.32685435695
SQUARE CLAUDE NICOLAS LEDOUX,2 PLACE DENFERT ROCHEREAU,75014,PW0199,2,48.8342318805,2.33212851833
SQUARE DU CHANOINE VIOLLET,72 RUE DU MOULIN VERT,75014,PW0185,1,48.8312962023,2.32009649026
SQUARE SERMENT DE KOUFRA,30 AVENUE ERNEST REYER,75014,PW0188,1,48.8215934539,2.32303498218
BIBLIOTHEQUE BENOITE GROULT,25 RUE DU COMMANDANT RENE MOUCHOTTE,75014,PW0218,1,48.8382803073,2.31987510528
SQUARE ASPIRANT DUNAND,RUE MOUTON DUVERNET,75014,PW0063,1,48.8321552307,2.32688453686
BIBLIOTHEQUE BRASSENS,38 RUE GASSENDI,75014,PW0054,2,48.8337666097,2.32585597789
SQUARE FERDINAND BRUNOT,PLACE FERDINAND BRUNOT,75014,PW0065,1,48.832851161,2.32676722614
MUSEE DE LA LIBERATION,4 AVENUE DU COLONEL ROL TANGUY PAVILLON OUEST,75014,PW0201,5,48.8339906348,2.33201446003
GYMNASE ALICE MILLIAT,11 T RUE D ALESIA,75014,PW0094,1,48.8271609094,2.33626383901
PARC MONTSOURIS - GARDE GAZAN,2 RUE GAZAN,75014,PW0213,1,48.8243676449,2.33982556429
POINT PARIS EMPLOI,12 RUE PIERRE CASTAGNOU,75014,PW0195,1,48.8325230687,2.32581431984
BIBLIOTHEQUE MARGUERITE YOURCENAR,41 RUE D ALLERAY,75015,PW0046,5,48.836806921,2.30348080218
CENTRE SPORTIF SUZANNE LENGLEN - ENTREE,2 RUE LOUIS ARMAND,75015,PW0173-1,1,48.8330706432,2.27657635711
